Name,Kategorie,Unterkategorie,Menge,Status,Geschmack,Nutzung,Beschreibung
Aperol,Aperitif / Bitter,Aperitif,1 Flasche,Unbekannt,"Bitter, Fruchtig, Zitrisch, Süß, Kräuterig","Aperitif, Spritz, Modifier","Leuchtend orangefarbener italienischer Aperitif mit milder Bitterkeit, Orange, Kräutern, Rhabarber, Chinarinde und Enzian. Aperol wirkt leichter und zugänglicher als klassische Bitter und ist ideal für Spritz, Aperitif-Drinks und frische Sommerdrinks."
Averna,Aperitif / Bitter,Amaro,1 Flasche,Ungeöffnet,"Süß, Kräuterig, Bitter, Zitrisch","Digestif, Modifier","Sizilianischer Amaro mit weicher Süße, Kräutern, Gewürzen, mediterranen Aromen und feiner Zitrusnote. Averna ist vollmundig, harmonisch und eignet sich pur auf Eis ebenso wie als dunkler, runder Amaro-Akzent in Cocktails."
Campari,Aperitif / Bitter,Bitter Aperitif,1 Flasche,Ungeöffnet,"Bitter, Kräuterig, Zitrisch, Fruchtig","Spritz, Aperitif, Modifier","Ikonischer roter Bitter-Aperitif aus Italien mit markanter Bitterkeit, Kräutern, Gewürzen und Orangennoten. Campari bringt Struktur, Farbe und Tiefe in Klassiker wie Negroni, Americano, Boulevardier und Campari Spritz."
Aperitivo Bavarese,Aperitif / Bitter,Aperitif,1 Flasche,Unbekannt,"Bitter, Zitrisch, Fruchtig, Kräuterig, Floral","Aperitif, Spritz, Modifier","Bayerischer Aperitivo mit frischer Zitrusnote, Wacholder, Kräutern und floralen Akzenten. Er funktioniert als moderne, grüne Alternative für Spritz-Drinks, Hugo-Varianten und leichte Aperitif-Serves."
Cynar,Aperitif / Bitter,Amaro / Bitter,1 Flasche,Geöffnet,"Bitter, Kräuterig, Süß","Aperitif, Digestif, Spritz, Modifier","Italienischer Amaro auf Basis von Artischocke und weiteren Botanicals. Cynar schmeckt nicht dominant nach Artischocke, sondern bittersüß, kräutrig, leicht vegetal und bringt Tiefe in Spritzes, Amaro-Drinks und dunkle Cocktail-Twists."
Ramazzotti,Aperitif / Bitter,Amaro,1 Flasche,Unbekannt,"Kräuterig, Süß, Bitter, Zitrisch","Digestif, Modifier","Klassischer italienischer Amaro mit 33 Kräutern, Gewürzen, Blüten und Früchten. Ramazzotti verbindet Orange, Kräuterwürze und bittersüße Tiefe zu einem zugänglichen Digestif und vielseitigen Amaro-Modifier."
Avionic Lufthansa Aperitif,Aperitif / Bitter,Aperitif,1 Flasche,Ungeöffnet,"Fruchtig, Zitrisch, Floral, Kräuterig, Süß, Bitter","Aperitif, Spritz","Moderner deutscher Aperitif von Ziegler mit Pfirsich, frischer Zitrusnote, floralen Wildwiesenkräutern und feiner Bitternote. Avionic ist frisch, duftig und besonders stark in Tonic- und Spritz-Serves."
Celery Bitters,Bitters,Bitters,1 Flasche,Ungeöffnet,"Bitter, Zitrisch",Modifier,"Würzig-vegetale Cocktail Bitters mit Sellerie, Zitronengras, Ingwer, Koriander und einer feinen herben Tiefe. Sie setzen in klaren Drinks, Martinis, Bloody Marys und Highballs einen eleganten, trockenen Savory-Akzent."
Creole Bitters,Bitters,Bitters,1 Flasche,Ungeöffnet,"Bitter, Fruchtig, Süß",Modifier,"Creole Bitters mit Cayenne, rosa Pfeffer, Anis, Zimt, Kümmel, Fenchel und dunkler Frucht. Sie geben klassischen Stirred Drinks eine würzige, warme und leicht fruchtige Tiefe."
Peach Bitters,Bitters,Fruit Bitters,3 Flaschen,Unbekannt,"Bitter, Fruchtig, Süß",Modifier,"Fruchtige Cocktail Bitters mit Pfirsich- und Steinfruchtcharakter. Sie eignen sich als feiner Akzent für Sours, Spritzes, Champagner-Drinks und helle Spirituosen, wenn ein dezenter Fruchtbogen gewünscht ist."
Old Town Decanter Bitters,Bitters,Bitters,1 Flasche,Ungeöffnet,"Bitter, Fruchtig, Zitrisch",Modifier,"Aromatische Bitters mit kräftiger Bitterkeit, Zitrus, getrockneten Früchten, Nelke, Zimt und dunkler Würze. Sie geben klassischen Drinks mehr Tiefe, Struktur und einen warmen Gewürzakzent."
Old Time Aromatic Bitters,Bitters,Bitters,1 Flasche,Ungeöffnet,"Bitter, Kräuterig",Modifier,"Klassische aromatische Bitters mit warmer Würze und trockener Bitterkeit. Sie sind ein universeller Bar-Akzent für Old Fashioned, Manhattan und viele klassische Cocktails."
Orange Bitters,Bitters,Bitters,1 Flasche,Ungeöffnet,"Bitter, Zitrisch, Fruchtig",Modifier,"Zitrische Bitters mit Orange, feiner Würze und trockener Bitterkeit. Sie hellen Martinis, Old Fashioneds, Gin-Drinks und spritzige Cocktails auf, ohne sie süßer zu machen."
Angobitter,Bitters,Aromatic Bitters,1 Flasche,Unbekannt,"Bitter, Kräuterig",Modifier,"Klassische aromatische Bitters mit konzentrierter Kräuter- und Gewürzwürze. Angostura ist ein universeller Cocktail-Akzent und bringt Struktur in Old Fashioned, Manhattan, Sours, Tiki-Drinks und Highballs."
1866 Brandy De Jerez Solero Grand Reserva,Cognac / Brandy,Brandy de Jerez,1 Flasche,Geöffnet,"Fruchtig, Süß, Trocken, Nussig","Pur, Digestif, Spirit-Forward","Eleganter Brandy de Jerez aus Spanien mit reifer Frucht, Vanille, Rosine, Holz und nussiger Sherry-Fass-Tiefe. Rund, warm und besonders passend als Digestif oder für klassische Brandy-Drinks."
Prince Hubert de Polignac VSOP Cognac,Cognac / Brandy,Cognac,1 Flasche,Geöffnet,"Fruchtig, Süß, Trocken","Pur, Digestif, Spirit-Forward, Cocktailbasis","Französischer VSOP Cognac mit weicher Frucht, Vanille, etwas Eiche und warmer Würze. Zugänglich genug für Sidecar und Brandy-Cocktails, aber auch sauber als Digestif zu trinken."
Kastaniengeist,Edelbrand / Geist,Geist,1 Flasche,Geöffnet,"Nussig, Trocken",Digestif,"Klarer Kastaniengeist mit nussiger Wärme, trockener Struktur und feinem Destillat-Charakter. Ein ruhiger Digestif für Gäste, die Nussaromen ohne schwere Süße mögen."
Edles Fass Nussler aus Wallnüssen,Edelbrand / Geist,Geist,1 Flasche,Unbekannt,"Nussig, Trocken",Digestif,"Feiner Walnussgeist mit trockener Nussigkeit, Holzanklang und eleganter Würze. Ein charaktervoller Digestif für den kleinen, konzentrierten Abschluss."
Walnussgeist,Edelbrand / Geist,Geist,1 Flasche,Unbekannt,"Nussig, Trocken",Digestif,"Trockener Walnussgeist mit klarer Nussnote und schlankem, sauberem Brandcharakter. Passt besonders gut als Digestif nach einem kräftigen Essen."
Pistaziengeist,Edelbrand / Geist,Geist,1 Flasche,Geöffnet,"Nussig, Trocken",Digestif,"Ungewöhnlicher Pistaziengeist mit trockener Nussnote und klarer Spirituosenstruktur. Elegant, speziell und deutlich weniger süß als ein Pistazienlikör."
Haselnuss,Edelbrand / Geist,Prinz Alte Sorte,1 Flasche,Unbekannt,"Nussig, Trocken",Digestif,"Milder Haselnussbrand mit warmer Nussigkeit und feiner Süße im Eindruck. Ein zugänglicher Digestif für Gäste, die weiche, nussige Aromen mögen."
Hauszwetschke,Edelbrand / Geist,Prinz Alte Sorte,1 Flasche,Unbekannt,Trocken,Digestif,"Runder Zwetschkenbrand mit dunkler Frucht, sanfter Würze und trockenem Finish. Ein klassischer Digestif mit viel Frucht und wenig Schwere."
Kirsche,Edelbrand / Geist,Prinz Alte Sorte,1 Flasche,Unbekannt,"Fruchtig, Trocken",Digestif,"Fruchtiger Kirschbrand mit klarer Steinobstnote und trockener Eleganz. Direkt, aromatisch und ideal als kleiner Digestif nach dem Essen."
Marille,Edelbrand / Geist,Prinz Alte Sorte,1 Flasche,Unbekannt,"Fruchtig, Trocken",Digestif,"Weicher Marillenbrand mit reifer Frucht, feiner Wärme und trockenem Nachklang. Ein sehr zugänglicher Obstbrand für Gäste, die Frucht und Eleganz suchen."
Alte Waldhimbeere,Edelbrand / Geist,Prinz Alte Sorte,1 Flasche,Unbekannt,"Fruchtig, Trocken",Digestif,"Aromatischer Himbeerbrand mit feiner Beerenfrucht und trockener, klarer Struktur. Leicht, duftig und besonders schön als fruchtiger Digestif."
Alte Williams-Christ-Birne,Edelbrand / Geist,Prinz Alte Sorte,1 Flasche,Unbekannt,"Fruchtig, Trocken",Digestif,"Klassischer Birnenbrand mit reifer Frucht, feiner Würze und sauberem Finish. Ein eleganter Digestif, der auch Gästen ohne große Brand-Erfahrung leicht zugänglich ist."
Alter Bodensee-Apfel,Edelbrand / Geist,Prinz Alte Sorte,1 Flasche,Unbekannt,"Fruchtig, Trocken",Digestif,"Feiner Apfelbrand mit klarer Frucht, milder Wärme und trockenem Ausklang. Ein ruhiger, bodenständiger Digestif mit schöner Obstnote."
Spätburgunder Trester,Edelbrand / Geist,Grappa,1 Flasche,Geöffnet,Trocken,Digestif,6 Jahre im Barrique gereift
Maraschino Cherries,Garnish,Cocktailkirschen,1 Flasche,Geöffnet,"Süß, Fruchtig",Modifier,"Edle Cocktailkirschen mit dichter Süße und dunkler Frucht. Eine hochwertige Garnitur für klassische Drinks, Dessert-Cocktails und elegante Serves."
Sapphire Premier Cru,Gin,Citrus London Dry Gin,1 Flasche,Unbekannt,"Trocken, Zitrisch, Fruchtig, Kräuterig",Cocktailbasis,"Zitrusbetonter London Dry Gin mit Murcian-Zitrone, Mandarine und süßer Orange. Frisch, klar und elegant für Gin & Tonic, Martini-Varianten oder einen French 75."
Fifty Pounds Gin,Gin,London Dry Gin,1 Flasche,Unbekannt,"Trocken, Kräuterig, Zitrisch",Cocktailbasis,"Klassischer London Dry Gin mit trockenem Wacholderprofil, Zitrus und feiner Würze. Eine geradlinige, elegante Basis für Gin & Tonic, Martini und Negroni."
Hendrick’s Gin,Gin,Scottish Botanical Gin,1 Flasche,Geöffnet,"Floral, Zitrisch, Kräuterig",Cocktailbasis,"Floraler schottischer Gin mit der typischen Hendrick’s-Signatur aus Gurke und Rose. Weich, frisch und besonders charmant in Gin & Tonic oder Collins-Drinks."
Kyrö Gin,Gin,Finnish Rye Gin,1 Flasche,Unbekannt,"Trocken, Kräuterig, Zitrisch",Cocktailbasis,"Finnischer Rye Gin mit Roggenbasis und nordischen Wildkräutern. Kräuterig, frisch und leicht würzig – sehr schön für aromatische Gin & Tonics."
Le Tribute Gin,Gin,Mediterranean Citrus Gin,1 Flasche,Unbekannt,"Trocken, Zitrisch, Kräuterig",Cocktailbasis,"Mediterraner Gin mit markanter Zitrusfrische, Lemongrass, Wacholder und mediterranen Früchten. Klar, trocken und ideal für elegante Gin & Tonics."
Needle Gin,Gin,Black Forest Dry Gin,1 Flasche,Unbekannt,"Trocken, Kräuterig",Cocktailbasis,"Schwarzwald Dry Gin mit Wacholder und Fichtennadeln. Trocken, kräuterig und harzig-frisch – ein guter Kandidat für herbe Gin & Tonics."
No.3 London Dry Gin,Gin,London Dry Gin,1 Flasche,Unbekannt,"Trocken, Zitrisch, Kräuterig",Cocktailbasis,"Geradliniger London Dry Gin mit Wacholder, Zitrus und Gewürzstruktur. Präzise, trocken und besonders stark in Martini, Gin & Tonic und klassischen Gin-Cocktails."
Roku Japanese Craft Gin,Gin,Japanese Craft Gin,1 Flasche,Unbekannt,"Trocken, Zitrisch, Floral",Cocktailbasis,"Japanischer Craft Gin mit sechs japanischen Botanicals wie Sakura, Tee, Sansho und Yuzu. Ausbalanciert, feinwürzig und elegant frisch."
Tanqueray London Dry Gin,Gin,London Dry Gin,2 Flaschen,Unbekannt,"Trocken, Zitrisch, Kräuterig",Cocktailbasis,"Klassischer London Dry Gin mit trockenem Wacholder, leichter Zitrusfrische und klarer Struktur. Vielseitig für Gin & Tonic, Martini und Negroni."
Tanqueray No. Ten,Gin,Citrus Gin,1 Flasche,Unbekannt,"Trocken, Zitrisch, Floral",Cocktailbasis,"Zitrusbetonter Premium-Gin mit Grapefruit, Orange, Limette, Wacholder und Kamille. Sehr elegant für Martini, Gimlet, White Lady und feine Gin & Tonics."
Ukiyo Blossom Gin,Gin,Japanese Blossom Gin,1 Flasche,Unbekannt,"Floral, Zitrisch","Spritz, Cocktailbasis","Floraler japanischer Gin mit Sakura-Blüte und Sakura-Blatt. Zart, frisch und leicht parfümiert – schön für elegante Gin & Tonics und leichte Highballs."
Ukiyo Nashi Pear Gin,Gin,Japanese Nashi Pear Gin,1 Flasche,Unbekannt,"Fruchtig, Zitrisch, Floral",Cocktailbasis,"Japanischer Gin mit frischer Nashi-Birne, feiner Frucht und leichter floraler Frische. Zugänglich, saftig und gut für helle, frische Highballs."
Ukiyo Tokyo Dry Gin,Gin,Tokyo Dry Gin,1 Flasche,Unbekannt,"Trocken, Zitrisch, Kräuterig",Cocktailbasis,"Trockener japanischer Gin mit Yuzu, Mikan, Sakura und Sansho. Klar, würzig und zitrisch – eine gute japanische Basis für G&T, Martini und Highballs."
Ukiyo Yuzu Gin,Gin,Japanese Yuzu Gin,1 Flasche,Unbekannt,"Zitrisch, Kräuterig",Cocktailbasis,"Japanischer Yuzu Gin mit klarer Zitrusfrische, feiner Bitterkeit und kräuterigen Noten. Hell, lebendig und ideal für erfrischende Highballs."
Ungava Canadian Premium Gin,Gin,Canadian Arctic Gin,1 Flasche,Geöffnet,"Kräuterig, Fruchtig, Floral",Cocktailbasis,"Kanadischer Gin mit arktischen Botanicals aus Nord-Québec. Kräuterig, wildfruchtig und floral mit markanter natürlicher Farbe und eigenständigem Charakter."
Amarula,Likör,Cream Liqueur,1 Flasche,Unbekannt,Süß,"Modifier, Digestif","Cremiger Likör mit weicher Süße, Vanille und fruchtig-warmer Dessertnote. Sanft, rund und besonders passend für Gäste, die milde Cream-Liköre mögen."
Baileys,Likör,Cream Liqueur,1 Flasche,Unbekannt,Süß,"Modifier, Digestif","Klassischer Irish Cream Likör mit Sahne, Kakao, Vanille und weicher Whiskey-Wärme. Rund, süß und unkompliziert als Dessertdrink oder cremiger Modifier."
Batida de Coco,Likör,Kokos,1 Flasche,Unbekannt,Süß,"Modifier, Digestif, Tiki & Tropical","Süßer Kokoslikör mit cremiger Textur und tropischem Charakter. Ideal für sommerliche Drinks, Batidas und weiche Dessert-Cocktails."
Bols Apricot Brandy,Likör,Fruchtlikör,1 Flasche,Unbekannt,"Fruchtig, Süß","Modifier, Cocktailbasis, Frisch & Sour","Aprikosenlikör von Bols mit klarer Steinfrucht, süßer Fruchtfülle und leichter Mandel-Anmutung. Ein klassischer Modifier für Sours, Tropical-Drinks und fruchtige Cocktail-Twists."
Bols Cherry Brandy,Likör,Fruchtlikör,1 Flasche,Unbekannt,"Fruchtig, Süß","Modifier, Cocktailbasis, Frisch & Sour","Kirschlikör von Bols mit süßer Kirsche, roter Frucht und leichter Mandel-Würze. Gut als Modifier für Singapore-Sling-ähnliche Drinks, Sours und dunkle Fruchtakzente."
Crème de Cacao Brown,Likör,Kakao,1 Flasche,Unbekannt,Süß,"Modifier, Digestif","Dunkler Kakaolikör mit süßer Schokoladennote und warmer Desserttiefe. Ein schöner Modifier für cremige Drinks, After-Dinner-Cocktails und Kakao-Aromen."
Crème de Cacao White,Likör,Kakao,1 Flasche,Unbekannt,Süß,"Modifier, Digestif","Klarer Kakaolikör mit süßer, heller Schokoladennote. Elegant für Drinks, in denen Kakao spürbar sein soll, ohne die Farbe des Cocktails zu verdunkeln."
Maraschino,Likör,Maraschino,1 Flasche,Unbekannt,Süß,"Modifier, Digestif",Süßer Kirschlikör mit Mandelanklang und feiner Bittermandel-Note. Ein klassischer Modifier für elegante Cocktails mit Tiefe und Frucht.
Peach,Likör,Fruchtlikör,1 Flasche,Unbekannt,"Süß, Fruchtig","Modifier, Digestif","Fruchtiger Pfirsichlikör mit weicher Süße und saftigem Steinobstcharakter. Gut für leichte, fruchtige Drinks und zugängliche Party-Cocktails."
Sour Apple,Likör,Fruchtlikör,1 Flasche,Geöffnet,"Süß, Fruchtig","Modifier, Digestif","Süßer Apfellikör mit grüner Frucht und frischer Säure. Bringt Farbe, Frische und verspielte Fruchtigkeit in moderne Drinks."
Triple Sec,Likör,Triple Sec,1 Flasche,Geöffnet,"Süß, Zitrisch, Fruchtig, Trocken","Modifier, Digestif, Frisch & Sour","Klarer Orangenlikör mit Zitrusfrucht, leichter Süße und trockenem Finish. Ein wichtiger Modifier für Sours, Margaritas und viele klassische Cocktails."
Chartreuse Verte,Likör,Kräuterlikör,1 Flasche,Unbekannt,"Süß, Kräuterig","Modifier, Digestif","Kraftvoller Kräuterlikör mit intensiver Süße, Tiefe und komplexer Würze. Ein kleiner Anteil reicht oft, um Cocktails deutlich aromatischer und spannender zu machen."
Cointreau,Likör,Orange Liqueur,1 Flasche,Unbekannt,"Süß, Zitrisch, Fruchtig","Modifier, Digestif, Frisch & Sour","Klarer Orangenlikör mit frischer Zitrusnote, feiner Süße und trockenem Kern. Ein unverzichtbarer Klassiker für Margaritas, Sours und elegante Cocktail-Basisarbeit."
Mandellikör,Likör,Amaretto,1 Flasche,Unbekannt,"Süß, Nussig","Modifier, Digestif","Süßer Mandellikör mit Marzipan, Nuss und weicher Wärme. Besonders gut für Dessertdrinks, Sours mit Nussnote und sanfte Digestif-Momente."
DOM Bénédictine,Likör,Kräuterlikör,1 Flasche,Ungeöffnet,"Süß, Kräuterig","Modifier, Digestif","Kräuterlikör mit Honigsüße, Gewürzen und tiefer, warmer Aromatik. Ein klassischer Modifier für elegante Drinks und ruhige Digestif-Serves."
Galliano L’Autentico,Likör,Kräuterlikör,1 Flasche,Geöffnet,"Süß, Kräuterig","Modifier, Digestif","Italienischer Kräuterlikör mit Vanille, Anis und warmer Gewürzsüße. Markant, süß und aromatisch — besonders schön für Klassiker und Dessertdrinks."
Galliano Vanilla,Likör,Kräuter/Vanille,1 Flasche,Geöffnet,"Süß, Kräuterig","Modifier, Digestif","Vanillebetonter Likör mit süßer Wärme und feiner Kräuternote. Weich, rund und besonders passend für cremige Drinks, Kaffee-Cocktails und Dessertmomente."
Crème de Violette,Likör,Floral,1 Flasche,Geöffnet,"Süß, Floral","Modifier, Digestif","Floraler Veilchenlikör mit feiner Süße und zarter Blütennote. Ideal für elegante, helle Cocktails und Drinks mit einem leichten floralen Akzent."
Grand Marnier,Likör,Orangenlikör,1 Flasche,Unbekannt,"Fruchtig, Süß, Zitrisch","Modifier, Cocktailbasis, Digestif","Französischer Orangenlikör auf Cognac-Basis mit bitter-süßer Orange, Vanille, Würze und weichem Brandy-Körper. Stark in Sidecar, Margarita-Twists und als edler Digestif."
Kahlúa,Likör,Kaffee,1 Flasche,Unbekannt,"Süß, Kräuterig, Kaffee","Modifier, Digestif","Kaffeelikör mit süßer Röstnote, Vanille und dunkler Desserttiefe. Ein Klassiker für Espresso Martini, White Russian und cremige After-Dinner-Drinks."
Kaffee Likör,Likör,Kaffee,1 Flasche,Unbekannt,"Süß, Kaffee","Modifier, Digestif","Feiner Kaffeelikör mit runder Süße und klarer Röstnote. Sehr gut für Dessertdrinks, Kaffee-Cocktails und kleine Digestif-Serves."
Walnusslikör,Likör,Nusslikör,2 Flaschen,Unbekannt,"Süß, Nussig","Modifier, Digestif","Süßer Walnusslikör mit warmer Nussigkeit und weichem Digestif-Charakter. Schön zu Dessert, Kaffee oder als nussiger Akzent in cremigen Drinks."
Licor 43,Likör,Vanillelikör,1 Flasche,Geöffnet,Süß,"Modifier, Digestif","Süßer Vanillelikör mit Zitrus, Gewürzen und warmer Dessertnote. Vielseitig für Longdrinks, Kaffee-Serves und cremige Cocktails."
Maraschino,Likör,Maraschino,1 Flasche,Geöffnet,"Süß, Floral","Modifier, Digestif","Klassischer Maraschino-Likör mit Kirsche, Mandel und feiner floraler Trockenheit. Ein eleganter Modifier für Aviation, Last Word und viele Bar-Klassiker."
Marcati Limoncello,Likör,Zitronenlikör,1 Flasche,Geöffnet,"Süß, Zitrisch","Modifier, Digestif","Süßer Zitronenlikör mit klarer Zitrusfrische und italienischem Digestif-Charakter. Frisch, unkompliziert und besonders schön gut gekühlt."
Molinari Caffè,Likör,Kaffee / Sambuca,1 Flasche,Unbekannt,"Süß, Kaffee","Modifier, Digestif","Kaffeelikör mit süßer Röstnote und italienischem Digestif-Charakter. Passt gut zu Espresso, Dessertdrinks und kleinen aromatischen Serves."
Pistazienlikör,Likör,Nusslikör,1 Flasche,Unbekannt,"Süß, Nussig","Modifier, Digestif","Süßer Pistazienlikör mit nussiger Cremigkeit und warmer Dessertnote. Ein besonderer Akzent für cremige Drinks, Kaffee-Cocktails und süße Serves."
Licellino Limoncello,Likör,Zitronenlikör,1 Flasche,Geöffnet,"Süß, Zitrisch, Fruchtig","Digestif, Spritz, Modifier","Italienisch inspirierter Zitronenlikör mit heller Zitrusfrische und süßer Likörstruktur. Geeignet als Digestif, für Spritz-Varianten oder als zitrischer Akzent in Dessertdrinks."
Salmari,Likör,Salmiak/Lakritz,1 Flasche,Geöffnet,Süß,"Modifier, Digestif","Süßer Salmiaklikör mit kräftiger Lakritznote und nordischem Spezialcharakter. Markant, salzig-süß und eher etwas für neugierige Gäste."
